X	Y	poly_ref	fl_x	fl_y	fl_poly
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
26595	5895	47641	26595	5895	47641
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
1582	18768	218452	1582	18768	218452
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
27713	14234	164355	27713	14234	164355
